English Word,Hebrew Translation,Difficulty Level,Source,Example Sentence
Beduin / Bedouin,,7,band22,
an article in a newspaper,,7,band22,
anywhere / any place,,7,band22,
ahead (of),,7,band22,
act (v),,7,band22,
aim (v),,7,band22,
My dog is acting strangely.,,7,band22,
base (v),,7,band22,
both... and,,7,band22,
They had a loud argument.,,7,band22,
in addition (to),,7,band22,
He beat me at tennis.,,7,band22,
branch (n),,7,band22,
arrive (at),,7,band22,
blame (v),,7,band22,
blow (v),,7,band22,
bother (v),,7,band22,
camp (n),,7,band22,
capital (city),,7,band22,
in common (with),,7,band22,
He was carrying a case.,,7,band22,
It was an interesting case.,,7,band22,
bridge (n),,7,band22,
on condition (that),,7,band22,
cover (v),,7,band22,
There is cream on the cake.,,7,band22,
She put cream on her face.,,7,band22,
contact (v),,7,band22,
code (n),,7,band22,
control (n),,7,band22,
control (v),,7,band22,
check (v),,7,band22,
circle (n),,7,band22,
complete (v),,7,band22,
complete (adj),,7,band22,
deal (n),,7,band22,
a good/great deal,,7,band22,
It depends...,,7,band22,
doubt (n),,7,band22,
doubt (v),,7,band22,
detail (n),,7,band22,
It makes no difference.,,7,band22,
drop (v),,7,band22,
dig (v),,7,band22,
Druz / Druze,,7,band22,
effect (n),,7,band22,
fish (n),,7,band22,
"It costs nothing, it's free.",,7,band22,
fit (v),,7,band22,
fix (v),,7,band22,
flat (adj),,7,band22,
What else?,,7,band22,
Few people came,,7,band22,
force (to),,7,band22,
experience (n),,7,band22,
fight (n),,7,band22,
fight (v),,7,band22,
file (n),,7,band22,
form (n),,7,band22,
express (v),,7,band22,
fill in / fill out,,7,band22,
form (v),,7,band22,
We worked even harder.,,7,band22,
even if/though,,7,band22,
The bird is free.,,7,band22,
I'm free this afternoon,,7,band22,
hate (v),,7,band22,
involved (with),,7,band22,
mark (n),,7,band22,
mark (v),,7,band22,
issue (n),,7,band22,
"Jew, Jewish",,7,band22,
match (v),,7,band22,
joke (n),,7,band22,
math(s),,7,band22,
kind (adj),,7,band22,
We walked a little.,,7,band22,
label (n),,7,band22,
"A little sugar, please.",,7,band22,
mail (n),,7,band22,
mail (v),,7,band22,
land (n),,7,band22,
load (n),,7,band22,
lock (v),,7,band22,
interview (n),,7,band22,
hurt (v),,7,band22,
interview (v),,7,band22,
laugh (v),,7,band22,
The movie was about a mad scientist,,7,band22,
lead (v),,7,band22,
mind (v),,7,band22,
Never mind!,,7,band22,
I don't mind.,,7,band22,
Do you mind...?,,7,band22,
process (n),,7,band22,
program (n),,7,band22,
The car is mine.,,7,band22,
park (v),,7,band22,
park (n),,7,band22,
not,,7,band22,
only,,7,band22,
notice (n),,7,band22,
present (n),,7,band22,
Moslem/Muslim,,7,band22,
notice (v),,7,band22,
a birthday present,,7,band22,
present (n,,7,band22,
"past, present and future",,7,band22,
object (n),,7,band22,
past (prep),,7,band22,
order (n),,7,band22,
order (v),,7,band22,
perfect (adj),,7,band22,
Your behavior is odd,,7,band22,
race (n),,7,band22,
railway / railroad,,7,band22,
offer (n),,7,band22,
offer (v),,7,band22,
record (v),,7,band22,
repeat (v),,7,band22,
reply (n),,7,band22,
reply (v),,7,band22,
report (n),,7,band22,
report (v),,7,band22,
request (n),,7,band22,
request (v),,7,band22,
respect (n),,7,band22,
respect (v),,7,band22,
responsible (for),,7,band22,
ride (v),,7,band22,
ring (v),,7,band22,
save money/time,,7,band22,
score (n),,7,band22,
seat (n),,7,band22,
second (n),,7,band22,
risk (n),,7,band22,
set (n),,7,band22,
set (v),,7,band22,
shape (n),,7,band22,
similar (to),,7,band22,
sort (n),,7,band22,
sort (v),,7,band22,
sound (n),,7,band22,
sound (v),,7,band22,
spend money/time,,7,band22,
smell (v),,7,band22,
succeed (in),,7,band22,
step (n),,7,band22,
stick (v),,7,band22,
store (n),,7,band22,
strike (v),,7,band22,
study (v),,7,band22,
state (v),,7,band22,
state (n),,7,band22,
suit (v),,7,band22,
support (v),,7,band22,
taste (v),,7,band22,
teenager (teen),,7,band22,
"-th (fifth, sixth...)",,7,band22,
thought (n),,7,band22,
throw away/out,,7,band22,
toward/towards,,7,band22,
train (n),,7,band22,
trash (n),,7,band22,
travel (v),,7,band22,
trust (v),,7,band22,
type (n),,7,band22,
type (v),,7,band22,
We used to live in Eilat.,,7,band22,
I'm used to waiting.,,7,band22,
visit (n),,7,band22,
visit (v),,7,band22,
warm (adj),,7,band22,
waste (v),,7,band22,
wave (v),,7,band22,
win (v),,7,band22,
wind (n),,7,band22,
wonder (v),,7,band22,
It's made of,,7,band22,
worried (about),,7,band22,
