English Word,Hebrew Translation,Difficulty Level,Source,Example Sentence
back up sb/sth / back sb/sth up,[TO TRANSLATE],7,band33july18,
be no good / be not any/much good,[TO TRANSLATE],7,band33july18,
carry on sth / carry sth on,[TO TRANSLATE],7,band33july18,
chair (man,[TO TRANSLATE],7,band33july18,She was chair of the committee.
check out sth / check sth out,[TO TRANSLATE],7,band33july18,We checked out the area: it's safe.
circumstance(s),[TO TRANSLATE],9,band33july18,
close down sth / close sth down,[TO TRANSLATE],7,band33july18,
considered (as),[TO TRANSLATE],7,band33july18,
dish(es),[TO TRANSLATE],8,band33july18,
dynamic(s),[TO TRANSLATE],9,band33july18,
enquiry),[TO TRANSLATE],8,band33july18,n
expectation(s),[TO TRANSLATE],9,band33july18,
expense(s),[TO TRANSLATE],9,band33july18,adj
fall (= autumn),[TO TRANSLATE],7,band33july18,
give back sth / give sth back,[TO TRANSLATE],7,band33july18,
give out sth / give sth out,[TO TRANSLATE],7,band33july18,Please give out the books to the students.
I/you/he etc. had better do sth,[TO TRANSLATE],7,band33july18,You'd better see a doctor.
in sth terms/in terms of sth,[TO TRANSLATE],8,band33july18,In political terms the move was a failure.
in this respect/in many respects,[TO TRANSLATE],8,band33july18,
inquiry (enquire,[TO TRANSLATE],7,band33july18,n
keep up sth / keep sth up,[TO TRANSLATE],7,band33july18,
line up (sb/sth) / line (sb/sth) up,[TO TRANSLATE],7,band33july18,Please line up to get your certificates.
long term/in the long term,[TO TRANSLATE],7,band33july18,
look(s),[TO TRANSLATE],8,band33july18,
make out sth / make sth out,[TO TRANSLATE],7,band33july18,Could you make out his meaning?
make up,[TO TRANSLATE],7,band33july18,She made up her face with new make-up
Make up one's / your mind,[TO TRANSLATE],7,band33july18,
make up one's mind / make your mind up,[TO TRANSLATE],7,band33july18,
make up sth / make sth up,[TO TRANSLATE],7,band33july18,I made up a story
next door (adv),[TO TRANSLATE],7,band33july18,"next-door neighbor, the flat next door"
next-door (adj),[TO TRANSLATE],7,band33july18,"next-door neighbor, the flat next door"
not make any difference,[TO TRANSLATE],7,band33july18,
open up sth / open sth up,[TO TRANSLATE],7,band33july18,
package,[TO TRANSLATE],8,band33july18,
paint,[TO TRANSLATE],7,band33july18,n
painter,[TO TRANSLATE],8,band33july18,n
