Lexical Item,Part of Speech,Example
a.m,,
absence,n,
absolute,adj,
abstract,adj,
abuse,n+v,
acceptable,adj,
acceptance,n,
access,v+n,
accompany,v,
accordingly,adv,
"accurate, inaccurate, accuracy, accurately","adj, adj, n, adv",
"achieve, achievement",v,n,
"acknowledge, acknowledgment, acknowledged","v, n, adj",
"acquire, acquisition",v,n,
"act, inactive, actor","v, adj, n",
actual,adj,The actual facts
"adapt, adapted, adaptation","v, adj, n",
"additional, additionally","adj, adv",
address,v,We need to address the problem.
"adequate, adequately, inadequate","adj, adv, adj",
administration,n,
"adopt, adoption",v,n,
"adjust, adjustment",v,n,
"advance, advanced","v, adj",
advocate,n+v,
affair,n,
affect,v,
"afford, affordable",v,
afterwards,adv,
"agent, agency",n,n,
"aggression, aggressive behavior",n,
"agreement, in agreement",n,
"agriculture, agricultural",n,adj,
aid,n+v,
airport,,
allow,v,
"alter, alteration",v,n,
amongst,prep,
analogy,n,
"analyze, analysis",v,n,
ancient,adj,
"announce, announcement",v,n,
annual,adj,
"anxious, anxiety",adj,n,
anybody,p,
anymore,adv,
anyway,adv,
"apparent, apparently",adj,adv,
application,n,
"appreciate, appreciation",v,n,
approach,v+n,
appropriate,adj,
"approve, approval",v,n,
approximately,adv,
Asian,adj,
aspect,n,
"aspire, aspiration",v,n,
assignment,n,
"assist, assistance",v,n,
"associate, association",v,n,
"assume, assumption",v,n,
"attachment, attach",n,v,
attack,v+n,
attempt,n+v,
"attend, attendance",v,n,
attitude,n,
"attract, attraction, attractive",v,n,adj,A tourist attraction. Magnetic attraction
audience,n,
authentic,adj,
author,n,
authority,n,A boss has authority over the workers. She is an authority on sociology.
"autonomy, autonomous",n,adj,The Palestinian Authority.
average,n+adj,
avoid,v,
award,n+v,
back,adv,
back up,v,"He backed up his friend. Make sure you back up your work on the computer."
background,n+adj,
balance,n+v,
ball,n,
ban,n+v,
band,n,"The band played some music."
bank,n,"Put your money in the bank."
bar,n,"A bar of chocolate. A bar of a cage. We bought some orange juice at the bar."
barely,adj,
barrier,n,
basically,n,
battle,n,
beach,n,
bear,v,I can't bear it!
beauty,n,
beginning,n,At the beginning
belief,n,
beneath,prep,
"benefit, beneficial",v,adj,
bias,n,
bill,n,"Pay the bill. A dollar bill."
billion,n,
bind,v,
"biology, biological",n,adj,
bird,n,adj,
block,v+n,
bold,adj,
bond,n,
bone,n,
boundary,n,
break,n,"Take a short break! A break in relations."
"breath, breathe",n,v,
"brief, briefly",adj,adv,
British,adj+n,"The British people. Do you like the British?"
budget,n,
building,n,
burn,v,
cabinet,n,
"calculate, calculation",v,n,
campaign,n+v,"The political party's campaign was successful: they were elected. We were campaigning for equal rights."
cancer,n,
candidate,n,
"capable, capability",adj,n,
capacity,n,"This student has great capacity for hard work. The hall has a seating capacity of 1000."
capture,n,
career,n,She had a very successful career.
carefully,adj,
category,n,
Catholic,n+adj,
cell,n,"Our body is made up of cells. A prison cell."
cellphone,n,"Turn off your cell (phone)."
census,n,
"central, centrally",adj,adv,
certainly,adv,
chain,n,
"chair (man, woman, person)",n,She was chair of the committee.
challenge,n+v,
change,n,
channel,n,
characteristic,n+adj,
charge,v,"They charged too much money. Charge a battery."
checklist,n,
"chemistry, chemical",n,adj,
chicken,n,
chief,n+adj,
chief of staff,n,
Chinese,n+adj,Chinese food. The Chinese are an oriental nation.
Christmas,n+adj,
church,n,
circumstance(s),n,
cite,v,
"citizen, citizenship",n,
"civil, civilian",adj,adj,
"civilized, civilization",adj,n,
claim,n+v,
"clarify, clarification",v,n,
classify,v,
clearly,adj,
client,n,
colleague,n,
collection,n,
college,n,
"combine, combination",v,n,
commander,n,
comment,n+v,
"commerce, commercial",n,adj,
"commit, commitment",v,"Commit a crime. They committed themselves. They were committed to helping the poor. It was a serious commitment."
committee,,
community,n,
"comparison, comparative",n,adj,
"compete, competition, competitive",v,n,adj,
completely,adv,
complex,adj,
component,n,
"compose, composition",v,n,
"comprehend, comprehension",v,n,
comprehensive,adj,
"comprise, comprised of",v,adj,
"concentrate, concentration",v,n,"Please concentrate on the assignment! The population was concentrated in the cities."
concept,,
"concern, concerned",n,adj,"As far as I'm concerned. It's no concern of yours. I'm concerned about these problems."
"conclusion, conclude",n,v,In conclusion. We may conclude that the answer is wrong.
conduct,n,v,"He conducted a study. She conducted the band."
conference,n,
"confident, confidence",adj,n,She has a lot of self-confidence.
"confirm, confirmation",v,n,"Please confirm the arrangements. The research confirms my hypothesis."
conflict,n,
consensus,n,
"consequence, consequently",n,adv,
"considerable, considerably",adj,adv,
consideration,n,Take into consideration.
considered (as),adj,
consist,v,
"consistent, consistently",adj,adv,
"constant, constantly",adj,adv,"in constant contact. We're constantly hearing about this event."
constitution,n,the American constitution is a list of laws.
"construct, construction",v,n,
"consume, consumer",v,n,
"contain, container",v,n,
contemporary,adj,
context,n,
"continuous, continuously",adj,adv,
contradict,v,
contrast,n+v,In contrast.
"contribute, contribution",v,n,
"convention, conventional",n,adj,
convert,v,
convey,v,
"cooperate, cooperation",v,n,
"coordinate, coordination",v,n,
core,n+adj,
correspond,v,
council,n,
count,v,"That doesn't count, it's not relevant."
cover,v,n,"Your essay covers all the main points. The book has a nice cover."
"creative, creation",adj,n,
criminal,n+adj,
crisis,n,
"criterion (pl: criteria)",n,
"criticize, criticism, critical",v,n,adj,
crucial,adj,
"current, currently",adj,
curriculum,n,
customer,n,
cut,v,Cut the cost of production.
cycle,n,
daily,adj,
damage,n+v,
data,n,
debate,n+v,
debt,n,In debt (to)
decade,n,
decision,n,
"declare, declaration",v,n,
decline,n,
decline,v,"To decline an invitation. Decline and fall."
decrease,v+n,
"defend, defense",v+n,
define,v,
degree,n,100 degrees. An academic degree.
delegation,n,
demand,v+n,
"democracy, democratic",n,adj,
"demonstrate, demonstration",v,n,
"deny, denial",v,n,
"depart, departure",v,n,
department,n,
"depress, depressed, depression, depressing",v,adj,n,adj,
derive,v,
desert,n,
design,n+v,
desire,n+v,
despite,prep,
"destroy, destruction",v,n,
"detail, detailed",n,adj,
"detect, detective, detection",v,n,n,
"determine, determination",v,n,
"develop, development",v,n,
device,n,
devise,v,
diagram,n,
dialogue,n,
"die, death",v,n,
difference,n,
"differentiate, differentiation",v,n,
difficulty,n,
dilemma,n,
dimension,n,
diminish,v,
"direct, directly",v+adj,adv,
discipline,n,Science is a discipline. Classroom discipline.
discovery,n,
"discriminate, discrimination",v,n,
disease,n,
dish(es),n,
display,v+n,
"dispose, disposal",v,n,
dissatisfied,adj,
"distance, distant",n,adj,
"distinction, distinguish",n,v,
"distribute, distribution",v,n,
district,n,
"disturb, disturbance",v,n,
"diverse, diversity",adj,n,
division,n,
document,v,
domain,n,
domestic,adj,
"dominant, dominate, domination",adj,v,n,
double,adj,
dozen,adj+n,
draft,n+adj,
drawing,n,
driver,n,
drug,n,
dual,adj,
duty,n,
dynamic(s),adj,
e.g,adv,
earn,v,
easily,adv,
Easter,n+adj,
eastern,adj,
"economic, economically, economics, economy",adj,adv,n,n,
edge,n,
"edit, editor",v,n,
"educate, educational",v,adj,
effective,adj,
"efficient, efficiently, efficiency",adj,adv,n,
egg,n,
"elect, election",v,n,
electronic,adj,
element,n,
elementary,adj,
"eliminate, elimination",v,n,
elsewhere,adv,
"emerge, emergence, emerging",v,n,adj,
emergency,n,
"emotion, emotional",n,adj,
"emphasize, emphasis",v,n,
"employ, employee, employer, employment",v,n,n,n,
enable,v,
encounter,v+n,
end,n,Do the means justify the end?
end,v,
enemy,n,
"engage, engagement",v,n,They engaged in the task. The couple became engaged.
"engineer, engineering",n,n,
enhance,v,
ensure,v,
enterprise,n,
"entire, entirely",adj,adv,
entitled,adj,You are entitled to a promotion.
entrance,n,
entry,n,
environmental,adj,
"equally, equality",adv,n,
"equip, equipment",v,n,
equivalent,adj+n,
era,n,
error,n,
escape,v,n,
"essential, essentially",adj,adv,
"establish, established, establishment",v,adj,n,
"estimate, estimation",v,n,
etc.,adv,
ethical,adj,
ethnic,adj,
European,adj,
"evaluate, evaluation",v,n,
even,adj,Even numbers
event,n,
eventually,adv,
everywhere,adv,
evidence,n,
"evident, evidently",adj,adv,
"evolve, evolution",v,n,
"exceed, excessive",v,adj,
except,prep,Except for
exchange,n+v,
"exclude, exclusion",v,n,
"exclusive, exclusively",adj,adv,
executive,n+adj,
exercise,v,
"exhibit, exhibition",v,n,
"exist, existing, existence",v,adj,n,
exit,n+v,
"expand, expansion",v,n,
expectation(s),n,
"expense(s), expensive",n,adj,
experience,v,
experiment,n+v,
"expert, expertise",n,n,
"explicit, explicitly",adj,adv,
"exploit, exploitation",v,n,
"explore, exploration",v,n,
export,n+v,
"expose, exposed",v,adj,
expression,n,"An idiomatic expression. She had a sad expression on her face."
"extend, extended, extension, extent",v,adj,n,n,
external,adj,
face,v,
facilitate,v,
facility,n,
fact,n,
factor,n,
factory,n,
failure,n,
fairly,adv,
"faith, faithful, faithfully",n,adj,adv,
"fall (= autumn)",n,
familiar,adj,
fan,n,She's a great fan of classical music.
"farm, farmer",n,n,
"fashion, fashionable",n,adj,
"favor, favorable",n,adj,
feature,n,
fee,n,
"feel, feeling",v,n,
"female, feminine",adj,adj,
figure,n,v,"The figure '2'. She has a slim figure. The figures on this survey show a population increase. I can't figure it out."
file,v,
"financial, finance",adj,n,
findings,n,
fire,v,
firm,adj,
firm,n,I work for an international firm.
fit,adj,We keep fit by having regular exercise. We don't think you are fit for the job.
"flexible, flexibility",adj,n,
flight,n,The flight to New York is late.
flow,n+v,
focus,n+v,
folk,n+adj,Folk music. They are nice folk.
forest,n,
"formal, formally",adj,adv,
"formality",n,
format,n+adj,
former,adj,She is a former president of the company. The former / the latter.
"formulate, formula",v,n,
forum,n,
fraction,n,
frame,n,
framework,n,
"France, French",n,n+adj,
"free, freedom",adj,n,
"frequent, frequently, frequency",adj,adv,n,
fuel,n,
fully,adv,
"function, functional",n+v,adj,
fund,n+v,"They set up a fund to build a school. The rich man funded the institution."
"fundamental, fundamentally",adj,adv,
further,adj+adv,"Further research is needed. We don't need to look further."
furthermore,adv,
gain,n+v,
gate,n,
gender,n,
generally,adv,
generate,v,
generation,n,
gentle,adj,
gentleman,n,
"geography, geographic",n,adj,
"German, Germany",adj+n,n,
"global, globally, globalization",adj,adv,n,
goal,n,
god,n,
"gold, golden",n+adj,adj,
goods,n,
govern,v,
grant,n+v,"She got a grant to go to University. I was granted an extension to finish my assignment."
graph,n,
greatly,adv,
group,n+v,
growth,n,
guard,n+v,
guess,v+n,
guest,n,
"guide, guidance, guidelines",n+v,n,n,
gun,n,
hand,v,He handed her the book.
handle,n,
hardware,n,
head,n+v,"She is the head of the company. He headed the investigation. We headed home."
hearing,n,My hearing is not too good.
heaven,n,
hell,n,
hence,adv,
"hero, heroine",n,n,
hierarchy,n,
highlight,n+v,That was the highlight of our trip! I highlighted the most important words in the text.
highly,adv,
hill,n,
hire,v+n,We hired a car. The car was for hire.
"historical, historically",adj,adv,
hole,n,
homemaker,n,Housewife or househusband
"hopeful, hopefully",adj,adv,
horizontal,adj,
horse,n,
host,n+v,
human being,n,
"human, humanity",n+adj,n,(= mankind)
humanities,n,
hypothesis,n,
i.e.,adv,
ice,n,
"ideal, ideally, idealism, idealist",n+adj,adv,n,n,
identical,adj,
identification,n,
"ignore, ignorant, ignorance",v,adj,n,
illegal,adj,
illness,n,
"illustrate, illustration",v,n,
"image, imagery",n,
imagination,n,
immediate,adj,
"immigrate, immigrant, immigration",v,n,n,
immoral,adj,
impact,n,
"implementation, implement",n,v,
"implication, imply",n,v,
implicit,adj,
import,n+v,
importance,n,
impose,v,
"impress, impressive, impression",v,adj,n,
improvement,n,
incentive,n,
"incident, incidentally",n,adv,
including,adj,
income,n,
increasingly,adv,
independence,n,
index,n,
"India, Indian",n,n+adj,
"indicate, indication, indicator",v,n,n,
indirect,adj,
individually,adv,
"industry, industrial",n,adj,
"inevitable, inevitably",adj,adv,
inferior,adj,
influence,n+v,
inform,v,
informal,adj,
infrastructure,n,
"inherent, inherently",adj,adv,
"initial, initially",adj,adv,
initiative,n,
"injury, injured",n,adj,
innovation,n,
input,n,
"inquire, inquiry (enquire, enquiry)",v,n,
insight,n,
insist,v,
"instant, instantly",adj,adv,
"institute, institution",n,n,
instruction,n,
instrument,n,
"insurance, insure",n,v,
"integrate, integration",v,n,
integrity,n,
intellectual,adj+n,
intelligence,n,(military)
"intend, intention",v,n,
"intense, intensive",adj,adj,
"interact, interaction, interactive",v,n,adj,
interest,n,"This topic raises a lot of interest. I invested the money in order to earn interest."
internal,adj,
"interpret, interpretation",v,n,
intervention,n,
"introduce, introduction",v,n,
invention,n,
"invest, investment",v,n,
"investigate, investigation",v,n,
invisible,adj,
involvement,n,
iron,n+adj,This tool is made of iron.
irresponsible,adj,
Islam,n,
"Japan, Japanese",n,adj+n,
joint,adj,"We worked together, it was a joint project."
journal,n,
"journalist, journalism",n,n,
Judaism,n,
"judgment, judge",n,n+v,
jump,n+v,
"just, justice",adj,n,
justify,v,
key,adj,
kill,v,
"king, kingdom",n,n,
kit,n,
kitchen,n,
knee,n,
knowledge,n,
label,n+v,
labor,n,
lack,n,
land,v,
landscape,n,
language,n,
largely,adv,
last,v,
late,adj,The late Shimon Peres.
latter,n,adj,Former / latter
laughter,n,
"law, lawyer",n,n,
leadership,n,
leaf,n,The leaf on a tree.
lean,v,
leg,n,
"legal, legally",adj,adv,
length,n,
level,n,
lift,n,I need a lift to Jerusalem.
lift,v,
light,adj,
lips,n,
list,n+v,
"literature, literary",n,adj,
