English Word,Hebrew Translation,Difficulty Level,Source,Example Sentence
-th,-י (סיומת של מספרים),7,band22,Today is my 12th birthday.
a couple of,כמה / שניים,5,band22,I need a couple of minutes to finish.
a good deal,הרבה / כמות רבה,6,band22,He knows a good deal about computers.
a great deal,הרבה מאוד,6,band22,She talks a great deal.
a little,קצת / מעט,4,band22,Add a little sugar to the tea.
a number of,מספר / כמה,7,band22,A number of students were absent today.
ability,יכולת,6,band22,She has the ability to learn quickly.
able,מסוגל,6,band22,I was able to finish my homework on time.
about,אודות / בערך,6,band22,The book is about animals.
above,מעל,6,band22,The bird flew above the trees.
abroad,חוץ לארץ,6,band22,My uncle lives abroad in Canada.
absent,נעדר,4,band22,Three students are absent today.
absolutely,בהחלט / לחלוטין,5,band22,You're absolutely right!
accept,לקבל,6,band22,I accept your apology.
accident,תאונה,6,band22,He had an accident on his bike.
according to,לפי,6,band22,"We use ""according to"" in English."
account,חשבון,6,band22,Open a bank account.
act,לפעול,6,band22,You must act quickly.
active,פעיל,6,band22,My grandfather is very active for his age.
activity,פעילות,6,band22,Soccer is a popular activity.
actually,למעשה,6,band22,"We use ""actually"" in English."
add,להוסיף,6,band22,Add two cups of flour to the bowl.
address,כתובת,6,band22,"We use ""address"" in English."
admit,להודות,5,band22,I admit I made a mistake.
adult,מבוגר,6,band22,An adult is a person over 18 years old.
advantage,יתרון,6,band22,What's the advantage of this plan?
adventure,הרפתקה,6,band22,Life is an adventure.
advertise,לפרסם,5,band22,They advertise on TV.
advertisement,פרסומת,6,band22,"We use ""advertisement"" in English."
advice,עצה,6,band22,Can you give me some advice?
advise,לייעץ,5,band22,I advise you to study hard.
afford,להרשות לעצמו,6,band22,We can't afford a new car.
afraid,מפחד,6,band22,Are you afraid of the dark?
after,אחרי,3,band22,Let's play after school.
after all,אחרי הכל / בכל זאת,5,band22,He decided to come after all.
afternoon,אחר הצהריים,2,band22,See you this afternoon.
against,נגד,6,band22,I'm against this idea.
age,גיל,6,band22,What age are you?
ago,לפני (זמן),6,band22,I saw that movie two weeks ago.
agree,להסכים,6,band22,I agree with you.
ahead of,לפני / מול,5,band22,She walked ahead of me.
aim,מטרה,6,band22,Aim for the target.
air,אוויר,6,band22,The air is fresh in the morning.
airport,שדה תעופה,6,band22,The airport is very busy today.
alarm,אזעקה,6,band22,Set the alarm for 6 AM.
alike,דומה,6,band22,The twins look alike.
alive,חי,6,band22,The plant is still alive.
all,הכל,6,band22,All students must attend.
all the time,כל הזמן / תמיד,6,band22,She talks all the time.
allow,להרשות,6,band22,My parents allow me to stay up late on weekends.
almost,כמעט,6,band22,We're almost there.
alone,לבד,6,band22,I don't like being alone.
along,לאורך,6,band22,We walked along the beach.
along with,יחד עם / לצד,5,band22,She came along with her sister.
alphabet,אלפבית,4,band22,"We use ""alphabet"" in English."
already,כבר,6,band22,I already finished my homework.
also,גם,6,band22,"We use ""also"" in English."
alternative,אלטרנטיבה / חלופה,6,band22,"We use ""alternative"" in English."
although,למרות ש,6,band22,I went out although it was raining.
altogether,לגמרי / בסך הכל,6,band22,There were ten people altogether.
always,תמיד,3,band22,I always brush my teeth before bed.
amazing,מדהים,6,band22,That was an amazing performance!
ambulance,אמבולנס,6,band22,"We use ""ambulance"" in English."
among,בקרב / בין,6,band22,She is popular among her friends.
amount,כמות,6,band22,"We use ""amount"" in English."
and so on,וכן הלאה / וכדומה,7,band22,"Bring pens, pencils, erasers, and so on."
angry,כועס,6,band22,Why are you angry?
animal,חיה,2,band22,My favorite animal is a dolphin.
announce,להכריז,6,band22,The teacher will announce the winner.
announcement,הודעה / הכרזה,5,band22,The principal made an announcement.
another,אחר / נוסף,6,band22,Would you like another cookie?
answer,תשובה,2,band22,I don't know the answer.
any,כלשהו,6,band22,Do you have any questions?
any place,בכל מקום,4,band22,You can sit at any place.
any time,בכל זמן,4,band22,"We use ""any time"" in English."
anymore,כבר לא,6,band22,"We use ""anymore"" in English."
anyone,כל אחד,6,band22,"We use ""anyone"" in English."
anything,כל דבר,6,band22,"We use ""anything"" in English."
anyway,בכל מקרה,6,band22,"We use ""anyway"" in English."
anywhere,בכל מקום,6,band22,I can't find it anywhere.
apart,בנפרד,6,band22,"We use ""apart"" in English."
apart from,מלבד / חוץ מ,6,band22,Everyone came apart from Tom.
apartment,דירה,6,band22,They live in a small apartment.
apologize,להתנצל,6,band22,You should apologize for being rude.
appear,להופיע,6,band22,"Suddenly, a rabbit appeared."
appearance,מראה / הופעה,6,band22,Don't judge people by their appearance.
apple,תפוח,1,band22,An apple a day keeps the doctor away.
apply to,להגיש בקשה / לחול על,6,band22,This rule applies to everyone.
Arab,ערבי,4,band22,"We use ""Arab"" in English."
area,אזור,7,band22,"We use ""area"" in English."
argue,להתווכח,7,band22,Don't argue with your sister.
argument,ויכוח / טיעון,5,band22,They had an argument.
army,צבא,7,band22,"We use ""army"" in English."
around,מסביב,7,band22,Look around you.
arrange,לסדר,7,band22,Let's arrange the chairs in a circle.
arrangement,הסדר / סידור,6,band22,We made arrangements for the party.
arrive,להגיע,7,band22,"We use ""arrive"" in English."
