English Word,Hebrew Translation,Difficulty Level,Example Sentence
(just) in case,,7,
a degree of,,7,You need a degree of confidence to succeed.
a.m,,6,
about to do sth,,7,I was about to call you when you rang.
absence,,8,
absolute,,8,
abstract,,9,
abuse,,7,
acceptable,,9,
acceptance,,9,
accompany,,8,
accordingly,,9,
accuracy,,8,
accurate,,8,
accurately,,9,
achieve,,8,n
achievement,,9,n
acknowledge,,9,
acknowledged,,9,
acknowledgment,,9,
acquisition,,9,n
actor,,7,
actual,,7,The actual facts
adapt,,7,
adaptation,,9,
adapted,,8,
additional,,9,
additionally,,9,
adequate,,8,
adequately,,9,
adjust,,7,n
adjustment,,9,n
administration,,9,
adopt,,7,n
adoption,,8,n
advocate,,8,
affect,,7,
affordable,,9,
afterwards,,9,
agency,,7,n
agent,,7,n
aggression,,9,
aggressive behavior,,7,
agreement,,8,
agricultural,,9,adj
aid,,6,
aimed at,,7,These activities are aimed at senior citizens.
all sorts of sth,,7,
all the way,,7,
alter,,7,n
alteration,,9,n
amongst,,8,
analogy,,8,
analyze,,8,n
ancient,,8,
annual,,7,
anxiety,,8,n
anybody,,8,
apparently,,9,adv
application,,9,
appreciate,,9,n
appreciation,,9,n
approval,,8,n
approve,,8,n
approximately,,9,
as for,,7,
Asian,,7,
aspect,,7,
aspiration,,9,n
aspire,,7,n
assist,,7,n
assistance,,9,n
association,,9,n
at a time,,8,two at a time
at the expense of,,8,
at times,,8,
attach,,7,v
attached to sb or sth,,7,
attempt,,8,
attend,,7,n
attendance,,9,n
attitude,,8,
attract,,8,n
authentic,,8,
authority,,8,A boss has authority over the workers. She is an authority on sociology.
autonomous,,9,adj
back up,,7,He backed up his friend. Make sure you back up your work on the computer.
back up sb/sth / back sb/sth up,,7,
basically,,8,
be able to do sth,,7,
be no good / be not any/much good,,7,
be the case,,7,That is not the case it's not true
bear,,6,I can't bear it!
bear/keep in mind,,7,
beneath,,8,
beneficial,,9,adj
benefit,,8,adj
better off,,7,
bias,,6,
billion,,8,
bind,,6,
biological,,9,adj
blow up,,7,The children blew up the balloons for the birthday party. The blew up the old building with dynamite
bond,,6,
bound to,,7,It's bound to happen inevitable.
boundary,,8,
break down,,7,The old car broke down
break off,,7,We broke off the discussion to have coffee
break out,,7,a disease broke out and many people died
break up,,7,They broke up the meeting.
breath,,7,v
breathe,,8,v
brief,,7,adv
briefly,,8,adv
bring up,,7,The chairperson brought up a new issue. The parents bring up their children.
British,,8,The British people. Do you like the British?
budget,,7,
by far,,8,They are by far the best team in the country
by means of,,8,
by no means,,8,
by now,,8,
by/in contrast (to),,7,
cabinet,,8,
calculation,,9,n
call for,,7,I'll come by and call for you at eight o'clock at your home.
campaign,,8,The political party's campaign was successful: they were elected. We were campaigning for equal rights.
candidate,,8,
capability,,9,n
capable,,8,n
care for,,7,She cares for her old mother.
career,,7,She had a very successful career.
carry on sth / carry sth on,,7,
catch up (with),,7,"Let's meet and catch up! I was walking faster than he was, so I soon caught up with him."
category,,8,
Catholic,,8,
cell,,6,Our body is made up of cells. A prison cell.
census,,7,
centrally,,8,adv
chair (man,,7,She was chair of the committee.
check out,,7,Check out of the hotel by 12 o'clock.
check out sth / check sth out,,7,We checked out the area: it's safe.
checklist,,8,
chief of staff,,7,
Chinese,,8,Chinese food. The Chinese are an oriental nation.
Christmas,,8,
circumstance(s),,9,
cite,,6,
citizenship,,9,
civil,,7,adj
civilian,,8,adj
civilization,,9,n
civilized,,8,n
clarification,,9,n
clarify,,8,n
classify,,8,
clean up,,7,Please clean up after you've finished working here.
