English Word,Hebrew Translation,Difficulty Level,Source,Example Sentence
(be) in your twenties / 20s/thirties/30s etc,,8,lexisband3,
at his/its etc. best,,8,lexisband3,
be situated in/on/by etc,,8,lexisband3,
blow up (sth/sb) or blow (sth/sb) up,,8,lexisband3,
bring up sb or bring sb up,,9,lexisband3,
come after/first/last etc,,9,lexisband3,
cut down sth or cut sth down,,8,lexisband3,
do a good/excellent etc. job,,9,lexisband3,
fall in love,,9,lexisband3,
fare,,8,lexisband3,
farther/further,,9,lexisband3,
fasten,,8,lexisband3,
fed up,,8,lexisband3,
feedback,,8,lexisband3,
fetch,,8,lexisband3,
finding/findings,,8,lexisband3,
flood,,9,lexisband3,
flu,,8,lexisband3,
focus on/upon sb/sth,,9,lexisband3,
fool,,9,lexisband3,
for the sake of sth/sb; for sth's/sb's sake,,8,lexisband3,
for fun or for the fun of it,,9,lexisband3,
forehead,,8,lexisband3,
forgetful,,8,lexisband3,
fortune,money,9,lexisband3,
free will,,8,lexisband3,
frozen,,9,lexisband3,
garage,business,8,lexisband3,
get,telephone; door,8,lexisband3,
get away with sth,,8,lexisband3,
get in,,8,lexisband3,
get in touch,,9,lexisband3,
get rid of sth,,9,lexisband3,
get sth wrong,,9,lexisband3,
get worse,,9,lexisband3,
ghost,,8,lexisband3,
giant,,8,lexisband3,
give away sth or give sth away,,9,lexisband3,
give in/up,,9,lexisband3,
give up sth or give sth up,,9,lexisband3,
grow tired/old/calm etc.,,9,lexisband3,
hang about/around,,8,lexisband3,
hang out,,8,lexisband3,
harbor,,8,lexisband3,
headquarters,,8,lexisband3,
heel,,8,lexisband3,
here you are/here it is etc.,,9,lexisband3,
hidden,,9,lexisband3,
historian,,8,lexisband3,
historic,of great importance,8,lexisband3,
hold up/ hold up sb/sth or hold sb/sth up,,8,lexisband3,
honesty,,9,lexisband3,
horror,,9,lexisband3,
hurry up sb/sth or hurry sb/sth up,,9,lexisband3,
hut,,8,lexisband3,
idiom,,8,lexisband3,
in,in a state; emotion,9,lexisband3,
in ... terms / in terms of sth,,9,lexisband3,
in actual fact,,9,lexisband3,
in connection with sth,,9,lexisband3,
in tears,,8,lexisband3,
in turn,,8,lexisband3,
incredible,,9,lexisband3,
indoors,,9,lexisband3,
infection,,8,lexisband3,
inside,feeling,9,lexisband3,
it looks like/as if/as though,,9,lexisband3,
jam,traffic,8,lexisband3,
jog,,8,lexisband3,
just as bad / good / tall /clever etc (as sb/sth),,8,lexisband3,
keen,,8,lexisband3,
keep,delay,9,lexisband3,
kind of,,9,lexisband3,
knit,,9,lexisband3,
laser,,9,lexisband3,
layer,,9,lexisband3,
learning,,8,lexisband3,
leave behind sb/sth or leave sb/sth behind,,9,lexisband3,
lecture,,9,lexisband3,
let out sb/sth or let sb/sth out,,9,lexisband3,
let sb/sth in /past/ through etc,,9,lexisband3,
lightly,,8,lexisband3,
lightning,,9,lexisband3,
likely,,8,lexisband3,
limited,,9,lexisband3,
liquid,,9,lexisband3,
little,,8,lexisband3,
living,,9,lexisband3,
loaf,,9,lexisband3,
loan,,9,lexisband3,
log in/on,,9,lexisband3,
log off/out,,9,lexisband3,
lonely,,9,lexisband3,
look at sth,,9,lexisband3,
look forward to sth/doing sth,,8,lexisband3,
lose interest / patience etc,,8,lexisband3,
magnificent,,9,lexisband3,
make sense,,8,lexisband3,
make up sth or make sth up,,9,lexisband3,
make up your mind or make your mind up,,8,lexisband3,
maker,manufacturer,9,lexisband3,
mark,line; stain,8,lexisband3,
marvelous,,8,lexisband3,
mask,,9,lexisband3,
mayor,,9,lexisband3,
means,method,9,lexisband3,
mend,,8,lexisband3,
message,important idea,8,lexisband3,
might as well,,8,lexisband3,
mineral water,,9,lexisband3,
misunderstand,,9,lexisband3,
mix up sb/sth or mix sb/sth up,,9,lexisband3,
mixture,,9,lexisband3,
modest,not proud,8,lexisband3,
monster,,9,lexisband3,
monthly,,9,lexisband3,
mood,,9,lexisband3,
mystery,,8,lexisband3,
naked,,9,lexisband3,
nasty,,9,lexisband3,
native,,8,lexisband3,
navy,,9,lexisband3,
neither ... nor,,8,lexisband3,
next door,,9,lexisband3,
nightmare,,9,lexisband3,
not at all,,9,lexisband3,
not believe / understand / hear / say etc. a word,,9,lexisband3,
not believe your eyes/ears,,9,lexisband3,
not until,,9,lexisband3,
nut,,9,lexisband3,
occasional,,9,lexisband3,
off,price reduction; not at work,8,lexisband3,
on a diet,,9,lexisband3,
on display,,8,lexisband3,
on duty/off duty,,8,lexisband3,
on the one hand ... on the other hand,,8,lexisband3,
once,as soon as,8,lexisband3,
orchestra,,9,lexisband3,
organic,,8,lexisband3,
others,people in general,9,lexisband3,
out-of-date,,8,lexisband3,
pale,,8,lexisband3,
patient,,8,lexisband3,
pavement,,9,lexisband3,
pill,,9,lexisband3,
pin,,9,lexisband3,
powder,,9,lexisband3,
preposition,,8,lexisband3,
professor,,8,lexisband3,
proposed,suggested,8,lexisband3,
provided (that),something,8,lexisband3,
pump,,9,lexisband3,
put up with sth/sb,,8,lexisband3,
quarrel,,8,lexisband3,
questionnaire,,8,lexisband3,
queue,,9,lexisband3,
quit,,9,lexisband3,
racket,sport,9,lexisband3,
rainbow,,8,lexisband3,
reasonably,price,8,lexisband3,
reassure,,8,lexisband3,
recycle,,8,lexisband3,
refund,,8,lexisband3,
regards,,9,lexisband3,
rely on/upon sb/sth,,8,lexisband3,
remain calm/open etc,,8,lexisband3,
republic,,8,lexisband3,
rob,,9,lexisband3,
rub out sth or rub sth out,,9,lexisband3,
rubber,substance,8,lexisband3,
rubbish,waste; bad quality,9,lexisband3,
rule,law; regulation,9,lexisband3,
rule,reign; govern,8,lexisband3,
run out of,,9,lexisband3,
scandal,,9,lexisband3,
scratch,hurt; damage,8,lexisband3,
sculpture,,9,lexisband3,
see off sb or see sb off,,9,lexisband3,
seldom,,9,lexisband3,
selfish,,9,lexisband3,
sense,reason; good judgement,9,lexisband3,
server,computing,8,lexisband3,
set up sth or set sth up,Rec,8,lexisband3,
shade,no sunlight,9,lexisband3,
shame,regret; disappointment,9,lexisband3,
shaming,,8,lexisband3,
shave,,9,lexisband3,
shelter,,8,lexisband3,
shore,,8,lexisband3,
shortly,,9,lexisband3,
show sb around / round,,8,lexisband3,
shut (sth) down or shut down (sth),,9,lexisband3,
side,facet of something or somebody,8,lexisband3,
sidewalk,,8,lexisband3,
sigh,,9,lexisband3,
sign,,9,lexisband3,
silk,,9,lexisband3,
similarity,,9,lexisband3,
sink,,8,lexisband3,
sit up/stand up straight,,8,lexisband3,
slave,,8,lexisband3,
sleeve,,9,lexisband3,
slow (sb/sth) down / up or slow down/up (sb/sth),,9,lexisband3,
smart,,8,lexisband3,
smooth,,8,lexisband3,
so did we/so have I/so is mine etc.,,9,lexisband3,
some kind of,,9,lexisband3,
somewhere around / between etc.,,9,lexisband3,
sooner or later,,9,lexisband3,
sore,,9,lexisband3,
sound angry/happy/ rude etc.,,9,lexisband3,
speak about/of sth,,8,lexisband3,
special offer,,9,lexisband3,
specialist,,9,lexisband3,
spectacular,,9,lexisband3,
spill,,8,lexisband3,
split up,,9,lexisband3,
spoil,,8,lexisband3,
sportsman,,8,lexisband3,
spy,,9,lexisband3,
squeeze,,8,lexisband3,
start (sth) off or start off (sth),,8,lexisband3,
stay over,,8,lexisband3,
stay up,,8,lexisband3,
steep,,8,lexisband3,
step back/forward / over etc.,,8,lexisband3,
step on/in sth,,8,lexisband3,
still,despite,8,lexisband3,
strangely enough,,9,lexisband3,
stream,small river,9,lexisband3,
strict,,9,lexisband3,
string,thin rope; musical instrument,8,lexisband3,
stripe,,8,lexisband3,
style,individual way; method etc.; in art/literature/music etc.,8,lexisband3,
subway,,9,lexisband3,
suffer from sth,,9,lexisband3,
sum up (sth/sb) or sum (sth/sb) up,,9,lexisband3,
super,,9,lexisband3,
supposed,,9,lexisband3,
swear,promise,8,lexisband3,
swear,curse,8,lexisband3,
sweep,,9,lexisband3,
switch,electrical on-off device,8,lexisband3,
sword,,9,lexisband3,
tail,,9,lexisband3,
take a risk,,8,lexisband3,
take advantage of sth,,8,lexisband3,
take into account sth,,8,lexisband3,
take part,,9,lexisband3,
take pleasure/pride/an interest etc.,,8,lexisband3,
take sb out or take out sb,,8,lexisband3,
take sb's place,,8,lexisband3,
take the/this opportunity to do sth,,8,lexisband3,
take sb/sth seriously,Prod,8,lexisband3,
take/accept/claim responsibility for sth,,8,lexisband3,
tap,,8,lexisband3,
temple,,9,lexisband3,
terminal,,8,lexisband3,
terror,,9,lexisband3,
thanks to sb/sth,,9,lexisband3,
that kind/sort of thing,,9,lexisband3,
the following day / morning etc.,,9,lexisband3,
the headlines,,8,lexisband3,
the heart of sth,,8,lexisband3,
the reality/realities of sth,,9,lexisband3,
thief,,9,lexisband3,
throw away/out sth or throw sth away/out,,8,lexisband3,
tie sb/sth up or tie up sb/sth,,8,lexisband3,
tight,clothes; firm; controlled,8,lexisband3,
tired of doing sth,Prod,8,lexisband3,
to start with,,9,lexisband3,
tournament,,9,lexisband3,
trade,industry,8,lexisband3,
tragedy,occupation; job,8,lexisband3,
treatment,dealing with,9,lexisband3,
triangle,,9,lexisband3,
tribe,,9,lexisband3,
try,attempt,9,lexisband3,
tube,,9,lexisband3,
turn,chance; opportunity,9,lexisband3,
turn (sb/sth) into sb/sth,,8,lexisband3,
uncomfortable,,9,lexisband3,
underline,emphasize,9,lexisband3,
underneath,,9,lexisband3,
