word,translation
feed,להאכיל
pour,למזוג / לשפוך
break,לשבור
smell,להריח
taste,לטעום
remind,להזכיר
join,להצטרף
grow up,לגדול / להתבגר
look after,לטפל ב... / להשגיח על
give out,לחלק
give in,להגיש / לתת / להיכנע
get down,לרדת
get something down,להניח
write down,לרשום
pick up,להרים / לאסוף / לקטוף
imagine,לדמיין
pack,לארוז
hate,לשנוא
prepare,להכין
explain,להסביר
pay,לשלם
return,לחזור / להחזיר
order,להזמין
decision,החלטה
restaurant,מסעדה
presents,מתנות
snack,חטיף
gram,גרם
dream,חלום
reading,קריאה
walk (noun),הליכה / טיול רגלי
job,עבודה / תפקיד
soap,סבון
helicopter,מסוק
model,דגם
piece,חתיכה / חלק
police officer,שוטר/ת
project,פרויקט
size,מידה
spare time,זמן פנוי
field,שדה
person,אדם
worker,עובד / פועל
nature,טבע
reason,סיבה
mountain,הר
island,אי
a bit,קצת
none,כלום / אף אחד
sweet,מתוק
too much,יותר מידי
as...as,כמו... (השוואה)
all sorts of,כל מיני
most,רוב
alone,לבד
online,באינטרנט
while,בזמן ש...
except for,חוץ מ...
during,במשך
each,כל אחד
huge,ענק / עצום
very much,מאוד
badly,באופן קשה / מאוד (בהקשר שלילי)
middle / in the middle,אמצע / באמצע
possible,אפשרי
away,רחוק / למקום אחר
either,או / גם (בשלילה)
pleasant,נעים
till,עד ש...
no problem,אין בעיה
surprised,מופתע
through,דרך (משהו)
popular,פופולרי
