English Word,Hebrew Translation,Difficulty Level,Source,Example Sentence
(all) on your own,לגמרי לבד,8,lexisband3,You have to do this project all on your own.
(at) any minute; any minute now,בכל רגע,8,lexisband3,The bus should arrive any minute now.
"(be) in your twenties/20s/thirties/30s, etc",להיות בשנות העשרים/השלושים,8,lexisband3,She is in her twenties and still studying.
(every) once in a while,מדי פעם,8,lexisband3,We go to the cinema once in a while.
(just) in case,למקרה ש,7,band33july18,
-th,-י (סיומת של מספרים),7,band22,Today is my 12th birthday.
a bit,קצת,4,scrap,I'm a bit tired after the game.
a broken heart,לב שבור,9,lexisband3,Time heals a broken heart.
a couple of,כמה / שניים,5,band22,I need a couple of minutes to finish.
a degree of,מידה מסוימת של,7,band33july18,You need a degree of confidence to succeed.
a good deal,הרבה / כמות רבה,6,band22,He knows a good deal about computers.
a great deal,הרבה מאוד,6,band22,She talks a great deal.
a handful of,"קומץ, מעטים",9,"lexisband3,band33july18",Only a handful of students showed up.
a little,קצת / מעט,4,band22,Add a little sugar to the tea.
a little sth,קצת משהו,8,lexisband3,Add a little sugar to the tea.
a mass of sth,"המון, ערימה של",9,lexisband3,There's a mass of work to do.
a number of,מספר / כמה,7,band22,A number of students were absent today.
"a sharp rise/increase/drop, etc.",עלייה/ירידה חדה,9,lexisband3,There was a sharp rise in prices.
a.m,"לפנה""צ",6,band33july18,
abandon,"לנטוש, לזנוח",9,lexisband3,They had to abandon the project.
ability,יכולת,6,band22,She has the ability to learn quickly.
able,מסוגל,6,band22,I was able to finish my homework on time.
about,אודות / בערך,6,band22,The book is about animals.
about to do sth,עומד לעשות משהו,7,band33july18,I was about to call you when you rang.
above,מעל,6,band22,The bird flew above the trees.
abroad,חוץ לארץ,6,band22,My uncle lives abroad in Canada.
absence,היעדרות,8,band33july18,
absent,נעדר,4,band22,Three students are absent today.
absolute,מוחלט,8,band33july18,
absolutely,בהחלט / לחלוטין,5,band22,You're absolutely right!
absorb,"לספוג, לקלוט",8,lexisband3,Plants absorb water through their roots.
abstract,מופשט,9,band33july18,
abuse,התעללות / לנצל לרעה,7,band33july18,
accept,לקבל,6,band22,I accept your apology.
acceptable,מקובל,9,band33july18,
acceptance,קבלה,9,band33july18,
access,"גישה, כניסה",8,"lexisband3,band33july18",Students have access to the library 24/7.
accident,תאונה,6,band22,He had an accident on his bike.
accompany,ללוות,8,band33july18,
according to,לפי,6,band22,"We use ""according to"" in English."
accordingly,בהתאם,9,band33july18,
account,חשבון,6,band22,Open a bank account.
accuracy,דיוק,8,band33july18,
accurate,מדויק,8,band33july18,
accurately,במדויק,9,band33july18,
achieve,להשיג,8,band33july18,n
achievement,הישג,9,band33july18,n
acknowledge,להכיר / לאשר,9,band33july18,
acknowledged,מוכר / מאושר,9,band33july18,
acknowledgment,הכרה,9,band33july18,
acquire,"לרכוש, להשיג",8,"lexisband3,band33july18",She acquired new skills in the course.
acquisition,רכישה,9,band33july18,n
act,לפעול,6,"band22,band33july18",You must act quickly.
active,פעיל,6,band22,My grandfather is very active for his age.
activity,פעילות,6,band22,Soccer is a popular activity.
actor,שחקן,7,band33july18,
actual,בפועל / ממשי,7,band33july18,The actual facts
actually,למעשה,6,band22,"We use ""actually"" in English."
adapt,להסתגל,7,band33july18,
adaptation,הסתגלות,9,band33july18,
adapted,מותאם,8,band33july18,
add,להוסיף,6,band22,Add two cups of flour to the bowl.
addition,תוספת,8,lexisband3,"In addition to English, she speaks French."
additional,נוסף,9,band33july18,
additionally,בנוסף,9,band33july18,
address,כתובת,6,"band22,band33july18",We need to address the problem.
adequate,הולם / מספיק,8,band33july18,
adequately,באופן הולם,9,band33july18,
adjust,להתאים / לכוונן,7,band33july18,n
adjustment,התאמה,9,band33july18,n
administration,ניהול / מינהל,9,band33july18,
admit,להודות,5,band22,I admit I made a mistake.
adopt,לאמץ,7,band33july18,n
adoption,אימוץ,8,band33july18,n
adult,מבוגר,6,band22,An adult is a person over 18 years old.
advance,התקדמות,8,"lexisband3,band33july18",There has been great advance in technology.
advanced,מתקדם,8,"lexisband3,band33july18",This is an advanced level course.
advantage,יתרון,6,band22,What's the advantage of this plan?
adventure,הרפתקה,6,band22,Life is an adventure.
advertise,לפרסם,5,band22,They advertise on TV.
advertisement,פרסומת,6,band22,"We use ""advertisement"" in English."
advertising,"פרסום, פרסומת",8,lexisband3,Advertising plays a major role in business.
advice,עצה,6,band22,Can you give me some advice?
advise,לייעץ,5,band22,I advise you to study hard.
adviser/advisor,יועץ,9,lexisband3,She works as a financial adviser.
advocate,תומך / לתמוך,8,band33july18,
affair,"עניין, מצב",9,"lexisband3,band33july18",This is a serious affair.
affect,להשפיע,7,band33july18,
affection,"חיבה, אהבה",9,lexisband3,She has great affection for her grandmother.
afford,להרשות לעצמו,6,"band22,band33july18",We can't afford a new car.
affordable,במחיר סביר,9,band33july18,
afraid,מפחד,6,band22,Are you afraid of the dark?
after,אחרי,3,band22,Let's play after school.
after all,אחרי הכל / בכל זאת,5,band22,He decided to come after all.
afternoon,אחר הצהריים,2,band22,See you this afternoon.
afterwards,אחר כך,9,band33july18,
against,נגד,6,band22,I'm against this idea.
against the law,נגד החוק,9,lexisband3,Stealing is against the law.
age,גיל,6,band22,What age are you?
agency,סוכנות,7,band33july18,n
agenda,סדר יום,9,lexisband3,What's on the agenda for today?
agent,סוכן / גורם,7,band33july18,n
aggression,תוקפנות,9,band33july18,
aggressive,"תוקפני, אגרסיבי",8,lexisband3,His aggressive behavior caused problems.
aggressive behavior,"תוקפני, אגרסיבי",7,band33july18,
ago,לפני (זמן),6,band22,I saw that movie two weeks ago.
agree,להסכים,6,band22,I agree with you.
agreement,הסכם,8,band33july18,
agricultural,חקלאי,9,band33july18,adj
agriculture,חקלאות,8,"lexisband3,band33july18",Agriculture is important for the economy.
ahead of,לפני / מול,5,band22,She walked ahead of me.
aid,עזרה / לעזור,6,band33july18,
aim,מטרה,6,band22,Aim for the target.
aimed at,מכוון ל,7,band33july18,These activities are aimed at senior citizens.
air,אוויר,6,band22,The air is fresh in the morning.
air force,חיל האוויר,8,lexisband3,He served in the air force.
airport,שדה תעופה,6,"band22,band33july18",The airport is very busy today.
alarm,אזעקה,6,band22,Set the alarm for 6 AM.
alike,דומה,6,band22,The twins look alike.
alive,חי,6,band22,The plant is still alive.
all,הכל,6,band22,All students must attend.
all in all,בסך הכל,9,"lexisband3,band33july18","All in all, it was a good day."
all is well,הכל בסדר,8,lexisband3,"Don't worry, all is well."
all of a sudden,"פתאום, לפתע",8,lexisband3,"All of a sudden, it started raining."
all over again,שוב מההתחלה,9,lexisband3,I have to do it all over again.
all over the place,בכל מקום,8,lexisband3,His toys are all over the place.
all sorts of,כל מיני,6,scrap,The shop sells all sorts of toys.
all sorts of sth,כל מיני,7,band33july18,
all the time,כל הזמן / תמיד,6,band22,She talks all the time.
all the way,כל הדרך,7,band33july18,
allow,להרשות,6,"band22,band33july18",My parents allow me to stay up late on weekends.
almost,כמעט,6,band22,We're almost there.
alone,לבד,6,band22,I don't like being alone.
along,לאורך,6,band22,We walked along the beach.
along with,יחד עם / לצד,5,band22,She came along with her sister.
alphabet,אלפבית,4,band22,"We use ""alphabet"" in English."
already,כבר,6,band22,I already finished my homework.
also,גם,6,band22,"We use ""also"" in English."
alter,לשנות,7,band33july18,n
alteration,שינוי,9,band33july18,n
alternative,אלטרנטיבה / חלופה,6,band22,"We use ""alternative"" in English."
although,למרות ש,6,band22,I went out although it was raining.
altogether,לגמרי / בסך הכל,6,band22,There were ten people altogether.
always,תמיד,3,band22,I always brush my teeth before bed.
amazing,מדהים,6,band22,That was an amazing performance!
ambassador,שגריר,8,lexisband3,The ambassador met with the president.
ambition,"שאפתנות, שאיפה",8,lexisband3,Her ambition is to become a doctor.
ambulance,אמבולנס,6,band22,"We use ""ambulance"" in English."
among,בקרב / בין,6,band22,She is popular among her friends.
among other things,בין היתר,8,"lexisband3,band33july18","We discussed, among other things, the budget."
amongst,בקרב,8,band33july18,
amount,כמות,6,band22,"We use ""amount"" in English."
amuse,"לשעשע, לבדר",9,lexisband3,The clown amused the children.
an awful lot (of sth),"המון, כמות עצומה",9,lexisband3,She has an awful lot of work.
analogy,אנלוגיה / דמיון,8,band33july18,
analysis,"ניתוח, אנליזה",8,"lexisband3,band33july18",The analysis showed interesting results.
analyze,לנתח,8,band33july18,n
ancestor,"אב קדמון, אבות",9,lexisband3,Her ancestors came from Poland.
