English Word,Hebrew Translation,Difficulty Level,Source,Example Sentence
(just) in case,[TO TRANSLATE],7,band33july18,
a degree of,[TO TRANSLATE],7,band33july18,You need a degree of confidence to succeed.
a.m,[TO TRANSLATE],6,band33july18,
about to do sth,[TO TRANSLATE],7,band33july18,I was about to call you when you rang.
absence,[TO TRANSLATE],8,band33july18,
absolute,[TO TRANSLATE],8,band33july18,
abstract,[TO TRANSLATE],9,band33july18,
abuse,[TO TRANSLATE],7,band33july18,
acceptable,[TO TRANSLATE],9,band33july18,
acceptance,[TO TRANSLATE],9,band33july18,
accompany,[TO TRANSLATE],8,band33july18,
accordingly,[TO TRANSLATE],9,band33july18,
accuracy,[TO TRANSLATE],8,band33july18,
accurate,[TO TRANSLATE],8,band33july18,
accurately,[TO TRANSLATE],9,band33july18,
achieve,[TO TRANSLATE],8,band33july18,n
achievement,[TO TRANSLATE],9,band33july18,n
acknowledge,[TO TRANSLATE],9,band33july18,
acknowledged,[TO TRANSLATE],9,band33july18,
acknowledgment,[TO TRANSLATE],9,band33july18,
acquisition,[TO TRANSLATE],9,band33july18,n
actor,[TO TRANSLATE],7,band33july18,
actual,[TO TRANSLATE],7,band33july18,The actual facts
adapt,[TO TRANSLATE],7,band33july18,
adaptation,[TO TRANSLATE],9,band33july18,
adapted,[TO TRANSLATE],8,band33july18,
additional,[TO TRANSLATE],9,band33july18,
additionally,[TO TRANSLATE],9,band33july18,
adequate,[TO TRANSLATE],8,band33july18,
adequately,[TO TRANSLATE],9,band33july18,
adjust,[TO TRANSLATE],7,band33july18,n
adjustment,[TO TRANSLATE],9,band33july18,n
administration,[TO TRANSLATE],9,band33july18,
adopt,[TO TRANSLATE],7,band33july18,n
adoption,[TO TRANSLATE],8,band33july18,n
advocate,[TO TRANSLATE],8,band33july18,
affect,[TO TRANSLATE],7,band33july18,
affordable,[TO TRANSLATE],9,band33july18,
afterwards,[TO TRANSLATE],9,band33july18,
agency,[TO TRANSLATE],7,band33july18,n
agent,[TO TRANSLATE],7,band33july18,n
aggression,[TO TRANSLATE],9,band33july18,
agreement,[TO TRANSLATE],8,band33july18,
agricultural,[TO TRANSLATE],9,band33july18,adj
aid,[TO TRANSLATE],6,band33july18,
aimed at,[TO TRANSLATE],7,band33july18,These activities are aimed at senior citizens.
all sorts of sth,[TO TRANSLATE],7,band33july18,
all the way,[TO TRANSLATE],7,band33july18,
alter,[TO TRANSLATE],7,band33july18,n
alteration,[TO TRANSLATE],9,band33july18,n
amongst,[TO TRANSLATE],8,band33july18,
analogy,[TO TRANSLATE],8,band33july18,
analyze,[TO TRANSLATE],8,band33july18,n
ancient,[TO TRANSLATE],8,band33july18,
annual,[TO TRANSLATE],7,band33july18,
anxiety,[TO TRANSLATE],8,band33july18,n
anybody,[TO TRANSLATE],8,band33july18,
apparently,[TO TRANSLATE],9,band33july18,adv
application,[TO TRANSLATE],9,band33july18,
appreciate,[TO TRANSLATE],9,band33july18,n
appreciation,[TO TRANSLATE],9,band33july18,n
approval,[TO TRANSLATE],8,band33july18,n
approve,[TO TRANSLATE],8,band33july18,n
approximately,[TO TRANSLATE],9,band33july18,
Asian,[TO TRANSLATE],7,band33july18,
aspect,[TO TRANSLATE],7,band33july18,
aspiration,[TO TRANSLATE],9,band33july18,n
aspire,[TO TRANSLATE],7,band33july18,n
assist,[TO TRANSLATE],7,band33july18,n
assistance,[TO TRANSLATE],9,band33july18,n
association,[TO TRANSLATE],9,band33july18,n
at a time,[TO TRANSLATE],8,band33july18,two at a time
at the expense of,[TO TRANSLATE],8,band33july18,
at times,[TO TRANSLATE],8,band33july18,
attach,[TO TRANSLATE],7,band33july18,v
attached to sb or sth,[TO TRANSLATE],7,band33july18,
attempt,[TO TRANSLATE],8,band33july18,
attend,[TO TRANSLATE],7,band33july18,n
attendance,[TO TRANSLATE],9,band33july18,n
attitude,[TO TRANSLATE],8,band33july18,
attract,[TO TRANSLATE],8,band33july18,n
authentic,[TO TRANSLATE],8,band33july18,
authority,[TO TRANSLATE],8,band33july18,A boss has authority over the workers. She is an authority on sociology.
autonomous,[TO TRANSLATE],9,band33july18,adj
back up,[TO TRANSLATE],7,band33july18,He backed up his friend. Make sure you back up your work on the computer.
back up sb/sth / back sb/sth up,[TO TRANSLATE],7,band33july18,
basically,[TO TRANSLATE],8,band33july18,
be able to do sth,[TO TRANSLATE],7,band33july18,
be no good / be not any/much good,[TO TRANSLATE],7,band33july18,
be the case,[TO TRANSLATE],7,band33july18,That is not the case it's not true
bear,[TO TRANSLATE],6,band33july18,I can't bear it!
bear/keep in mind,[TO TRANSLATE],7,band33july18,
beneath,[TO TRANSLATE],8,band33july18,
beneficial,[TO TRANSLATE],9,band33july18,adj
benefit,[TO TRANSLATE],8,band33july18,adj
better off,[TO TRANSLATE],7,band33july18,
bias,[TO TRANSLATE],6,band33july18,
billion,[TO TRANSLATE],8,band33july18,
bind,[TO TRANSLATE],6,band33july18,
biological,[TO TRANSLATE],9,band33july18,adj
blow up,[TO TRANSLATE],7,band33july18,The children blew up the balloons for the birthday party. The blew up the old building with dynamite
bond,[TO TRANSLATE],6,band33july18,
bound to,[TO TRANSLATE],7,band33july18,It's bound to happen inevitable.
boundary,[TO TRANSLATE],8,band33july18,
break down,[TO TRANSLATE],7,band33july18,The old car broke down
break off,[TO TRANSLATE],7,band33july18,We broke off the discussion to have coffee
break out,[TO TRANSLATE],7,band33july18,a disease broke out and many people died
break up,[TO TRANSLATE],7,band33july18,They broke up the meeting.
breath,[TO TRANSLATE],7,band33july18,v
breathe,[TO TRANSLATE],8,band33july18,v
brief,[TO TRANSLATE],7,band33july18,adv
briefly,[TO TRANSLATE],8,band33july18,adv
bring up,[TO TRANSLATE],7,band33july18,The chairperson brought up a new issue. The parents bring up their children.
British,[TO TRANSLATE],8,band33july18,The British people. Do you like the British?
budget,[TO TRANSLATE],7,band33july18,
by far,[TO TRANSLATE],8,band33july18,They are by far the best team in the country
by means of,[TO TRANSLATE],8,band33july18,
by no means,[TO TRANSLATE],8,band33july18,
by now,[TO TRANSLATE],8,band33july18,
by/in contrast (to),[TO TRANSLATE],7,band33july18,
cabinet,[TO TRANSLATE],8,band33july18,
calculation,[TO TRANSLATE],9,band33july18,n
call for,[TO TRANSLATE],7,band33july18,I'll come by and call for you at eight o'clock at your home.
campaign,[TO TRANSLATE],8,band33july18,The political party's campaign was successful: they were elected. We were campaigning for equal rights.
candidate,[TO TRANSLATE],8,band33july18,
capability,[TO TRANSLATE],9,band33july18,n
capable,[TO TRANSLATE],8,band33july18,n
care for,[TO TRANSLATE],7,band33july18,She cares for her old mother.
career,[TO TRANSLATE],7,band33july18,She had a very successful career.
carry on sth / carry sth on,[TO TRANSLATE],7,band33july18,
catch up (with),[TO TRANSLATE],7,band33july18,"Let's meet and catch up! I was walking faster than he was, so I soon caught up with him."
category,[TO TRANSLATE],8,band33july18,
Catholic,[TO TRANSLATE],8,band33july18,
cell,[TO TRANSLATE],6,band33july18,Our body is made up of cells. A prison cell.
census,[TO TRANSLATE],7,band33july18,
centrally,[TO TRANSLATE],8,band33july18,adv
chair (man,[TO TRANSLATE],7,band33july18,She was chair of the committee.
check out,[TO TRANSLATE],7,band33july18,Check out of the hotel by 12 o'clock.
check out sth / check sth out,[TO TRANSLATE],7,band33july18,We checked out the area: it's safe.
checklist,[TO TRANSLATE],8,band33july18,
chief of staff,[TO TRANSLATE],7,band33july18,
Chinese,[TO TRANSLATE],8,band33july18,Chinese food. The Chinese are an oriental nation.
Christmas,[TO TRANSLATE],8,band33july18,
circumstance(s),[TO TRANSLATE],9,band33july18,
cite,[TO TRANSLATE],6,band33july18,
citizenship,[TO TRANSLATE],9,band33july18,
civil,[TO TRANSLATE],7,band33july18,adj
civilian,[TO TRANSLATE],8,band33july18,adj
civilization,[TO TRANSLATE],9,band33july18,n
civilized,[TO TRANSLATE],8,band33july18,n
clarification,[TO TRANSLATE],9,band33july18,n
clarify,[TO TRANSLATE],8,band33july18,n
classify,[TO TRANSLATE],8,band33july18,
clean up,[TO TRANSLATE],7,band33july18,Please clean up after you've finished working here.
clearly,[TO TRANSLATE],8,band33july18,
client,[TO TRANSLATE],7,band33july18,
close down sth / close sth down,[TO TRANSLATE],7,band33july18,
colleague,[TO TRANSLATE],8,band33july18,
combination,[TO TRANSLATE],9,band33july18,n
combine,[TO TRANSLATE],8,band33july18,n
come across sth/sb,[TO TRANSLATE],7,band33july18,I came across this idea as I was reading.
come down with sth,[TO TRANSLATE],7,band33july18,He came down with the flu
come on!,[TO TRANSLATE],7,band33july18,
come out,[TO TRANSLATE],7,band33july18,The books comes out next month.
