English Word,Hebrew Translation,Difficulty Level,Source,Example Sentence
(all) on your own,לגמרי לבד,8,lexisband3,You have to do this project all on your own.
(at) any minute; any minute now,בכל רגע,8,lexisband3,The bus should arrive any minute now.
"(be) in your twenties/20s/thirties/30s, etc",להיות בשנות העשרים/השלושים,8,lexisband3,She is in her twenties and still studying.
(every) once in a while,מדי פעם,8,lexisband3,We go to the cinema once in a while.
a little sth,קצת משהו,8,lexisband3,Add a little sugar to the tea.
above,"מעל, למעלה",8,lexisband3,The birds are flying above the trees.
absorb,"לספוג, לקלוט",8,lexisband3,Plants absorb water through their roots.
access,"גישה, כניסה",8,lexisband3,Students have access to the library 24/7.
account,"דו""ח, תיאור",8,lexisband3,He gave a detailed account of the accident.
acquire,"לרכוש, להשיג",8,lexisband3,She acquired new skills in the course.
addition,תוספת,8,lexisband3,"In addition to English, she speaks French."
advance,התקדמות,8,lexisband3,There has been great advance in technology.
advanced,מתקדם,8,lexisband3,This is an advanced level course.
advertising,"פרסום, פרסומת",8,lexisband3,Advertising plays a major role in business.
age,"תקופה, עידן",8,lexisband3,We live in the digital age.
aggressive,"תוקפני, אגרסיבי",8,lexisband3,His aggressive behavior caused problems.
agriculture,חקלאות,8,lexisband3,Agriculture is important for the economy.
air force,חיל האוויר,8,lexisband3,He served in the air force.
alarm,"אזעקה, דאגה",8,lexisband3,The alarm went off at 6 AM.
all is well,הכל בסדר,8,lexisband3,"Don't worry, all is well."
all of a sudden,"פתאום, לפתע",8,lexisband3,"All of a sudden, it started raining."
all over the place,בכל מקום,8,lexisband3,His toys are all over the place.
altogether,"בסך הכל, לגמרי",8,lexisband3,There were twenty people altogether.
ambassador,שגריר,8,lexisband3,The ambassador met with the president.
ambition,"שאפתנות, שאיפה",8,lexisband3,Her ambition is to become a doctor.
among other things,בין היתר,8,lexisband3,"We discussed, among other things, the budget."
analysis,"ניתוח, אנליזה",8,lexisband3,The analysis showed interesting results.
annoy,"להרגיז, להציק",8,lexisband3,The noise really annoys me.
anxious,"מודאג, חרד",8,lexisband3,She felt anxious before the exam.
apparent,"ברור, נראה לעין",8,lexisband3,It was apparent that he was lying.
appear,"להיראות, להיתפס",8,lexisband3,He appears to be happy.
approach,"גישה, דרך",8,lexisband3,We need a different approach to this problem.
appropriate,"מתאים, הולם",8,lexisband3,Please wear appropriate clothing.
argue,"לטעון, להתווכח",8,lexisband3,They argued about politics.
arrow,"חץ, סימן",8,lexisband3,Follow the arrow to the exit.
artistic,אומנותי,8,lexisband3,She has great artistic talent.
as,"בזמן ש-, כאשר",8,lexisband3,"As I was leaving, the phone rang."
as a matter of fact,"למעשה, לאמיתו של דבר",8,lexisband3,"As a matter of fact, I agree with you."
ashamed,מתבייש,8,lexisband3,He felt ashamed of his behavior.
aside,הצידה,8,lexisband3,She put the book aside and looked at me.
assure,"להבטיח, להרגיע",8,lexisband3,I assure you that everything will be fine.
at fault,אשם,8,lexisband3,The driver was at fault for the accident.
"at his/its, etc. best",במיטבו,8,lexisband3,The team was at its best today.
at least,לפחות,8,lexisband3,You should study at least two hours a day.
atmosphere,"אווירה, אטמוספרה",8,lexisband3,There was a friendly atmosphere at the party.
attraction,"אטרקציה, משיכה",8,lexisband3,The museum is a major attraction.
automatically,"אוטומטית, מאליו",8,lexisband3,The door closes automatically.
average,"ממוצע, רגיל",8,lexisband3,The average student can do this.
awareness,מודעות,8,lexisband3,We need to raise awareness about this issue.
bad,"רקוב, מקולקל",8,lexisband3,The meat has gone bad.
bank,גדה,8,lexisband3,We sat on the river bank.
bank account,חשבון בנק,8,lexisband3,I opened a new bank account.
barely,בקושי,8,lexisband3,I could barely see in the dark.
bargain,"מציאה, עסקה",8,lexisband3,This coat is a real bargain.
barrier,"מחסום, מכשול",8,lexisband3,Language can be a barrier to communication.
base,בסיס צבאי,8,lexisband3,The soldiers returned to base.
bay,מפרץ,8,lexisband3,The ship sailed into the bay.
be (just) about to do sth,"עומד ל-, בדיוק הולך ל-",8,lexisband3,I'm just about to leave.
be in charge,להיות אחראי,8,lexisband3,Who is in charge here?
be out of sth,להיגמר ממשהו,8,lexisband3,We're out of milk.
be responsible for sth/doing sth,להיות אחראי ל-,8,lexisband3,She is responsible for the project.
"be situated in/on/by, etc",להיות ממוקם ב-,8,lexisband3,The hotel is situated near the beach.
be expecting (a baby),להיות בהריון,8,lexisband3,They're expecting their first baby.
beat,"קצב, פעימה",8,lexisband3,Dance to the beat of the music.
before,"לפני, בסדר",8,lexisband3,Your name comes before mine.
behind,"מאחור, מפגר",8,lexisband3,She is behind in her studies.
believe in sth,להאמין במשהו,8,lexisband3,I believe in working hard.
believe it or not,תאמין או לא,8,lexisband3,"Believe it or not, he won the lottery."
bell,"פעמון, צלצול",8,lexisband3,Ring the bell when you arrive.
bench,ספסל,8,lexisband3,Let's sit on that bench.
bend,"לכופף, לעקם",8,lexisband3,Bend your knees when you lift.
besides,"מלבד, בנוסף",8,lexisband3,"Besides English, she speaks Spanish."
biology,ביולוגיה,8,lexisband3,She's studying biology at university.
bitter,"מר, מריר",8,lexisband3,The medicine tastes bitter.
blame,"אשמה, האשמה",8,lexisband3,Don't put the blame on me.
block,לחסום,8,lexisband3,A truck blocked the road.
blow up (sth/sb),לפוצץ,8,lexisband3,They blew up the old building.
boiled,"מבושל, רתוח",8,lexisband3,Would you like a boiled egg?
bold,"נועז, אמיץ",8,lexisband3,It was a bold decision.
bother,"להטריד, לטרוח",8,lexisband3,Don't bother helping me.
bottom,"תחתון, נמוך ביותר",8,lexisband3,Put your name at the bottom of the page.
brake,בלם,8,lexisband3,He stepped on the brake.
branch,"סניף, ענף",8,lexisband3,The company has branches worldwide.
breast,"חזה, שד",8,lexisband3,Breast cancer awareness is important.
breeze,"רוח קלה, בריזה",8,lexisband3,A cool breeze blew from the sea.
brick,לבנה,8,lexisband3,The house is made of brick.
brilliant,"מבריק, גאוני",8,lexisband3,She has a brilliant mind.
bring up sb,"לגדל, לחנך",8,lexisband3,She brought up three children alone.
bucket,דלי,8,lexisband3,Fill the bucket with water.
bug,"חרק, באג",8,lexisband3,There's a bug in the computer program.
bull,שור,8,lexisband3,Be careful of the bull in the field.
bunch,"צרור, אשכול",8,lexisband3,I bought a bunch of flowers.
burst into tears,לפרוץ בבכי,8,lexisband3,She burst into tears when she heard the news.
bury,לקבור,8,lexisband3,They buried the treasure in the garden.
butcher,קצב,8,lexisband3,Buy the meat from the butcher.
cab,מונית,8,lexisband3,Let's take a cab to the airport.
cabin,"תא, בקתה",8,lexisband3,We stayed in a small cabin in the woods.
calculate,לחשב,8,lexisband3,Calculate the total cost.
can,"יכול, לפעמים קורה",8,lexisband3,Accidents can happen.
can tell,"יכול לומר, מבחין",8,lexisband3,I can tell she's upset.
capacity,"נפח, קיבולת",8,lexisband3,The bottle has a capacity of one liter.
capture,"ללכוד, לתפוס",8,lexisband3,The police captured the criminal.
cash,לפרוט המחאה,8,lexisband3,Can I cash this check here?
casual,"מזדמן, לא רשמי",8,lexisband3,"It's a casual meeting, no need for a suit."
catalog/catalogue,קטלוג,8,lexisband3,Look through the catalog for ideas.
cave,מערה,8,lexisband3,They explored the dark cave.
ceremony,טקס,8,lexisband3,The graduation ceremony was beautiful.
certificate,תעודה,8,lexisband3,She received a certificate of completion.
chairperson,"יו""ר",8,lexisband3,The chairperson opened the meeting.
challenge,"לאתגר, להטיל ספק",8,lexisband3,He challenged the decision.
chance,סיכון,8,lexisband3,I'm not taking any chances.
change,"עודף, כסף קטן",8,lexisband3,Keep the change.
characteristic,תכונה אופיינית,8,lexisband3,Patience is his main characteristic.
charge,לטעון חשמל,8,lexisband3,Charge your phone before leaving.
chase,"לרדוף, מרדף",8,lexisband3,The dog chased the cat.
cheat,"לרמות, רמאי",8,lexisband3,Don't cheat on the test.
check in/check out,לעשות צ'ק אין/אאוט,8,lexisband3,Check in at the hotel reception.
Cheers!,לחיים!,8,lexisband3,Cheers! Happy birthday!
claim,"לטעון, קביעה",8,lexisband3,He claims to be innocent.
classic,קלאסי,8,lexisband3,This is a classic example.
clinic,מרפאה,8,lexisband3,She works at the clinic.
clothing,"ביגוד, לבוש",8,lexisband3,The store sells children's clothing.
coach,מאמן,8,lexisband3,The coach trained the team.
a broken heart,לב שבור,9,lexisband3,Time heals a broken heart.
a handful of,"קומץ, מעטים",9,lexisband3,Only a handful of students showed up.
a mass of sth,"המון, ערימה של",9,lexisband3,There's a mass of work to do.
